LISTA;CIRCOSCRIZIONE;COLLEGIO PLURINOMINALE;COLLEGIO UNINOMINALE;NUMERO CANDIDATO;CANDIDATO
POTERE AL POPOLO!;SICILIA;SICILIA - 01;02 - PALERMO - BAGHERIA;;MANISCALCO GIOVANNI 
POTERE AL POPOLO!;SICILIA;SICILIA - 01;03 - MARSALA;;FICARRA GIUSEPPE DAVIDE DETTO DAVIDE
POTERE AL POPOLO!;SICILIA;SICILIA - 01;04 - AGRIGENTO;;MARRONE CARMELA 
POTERE AL POPOLO!;SICILIA;SICILIA - 01;05 - GELA;;MURATORE PIETRO 
POTERE AL POPOLO!;SICILIA;SICILIA - 02;06 - MESSINA;;RUSSO ANNALAURA 
POTERE AL POPOLO!;SICILIA;SICILIA - 02;07 - ACIREALE;;SCUDERI SALVATORE MARIA ANTONIO DETTO SALVO
POTERE AL POPOLO!;SICILIA;SICILIA - 02;08 - CATANIA;;D'ANTONA GOFFREDO 
POTERE AL POPOLO!;SICILIA;SICILIA - 02;09 - SIRACUSA;;GIOVANNINI GIOVANNA 
POTERE AL POPOLO!;TOSCANA;TOSCANA - 01;TOSCANA - 05 - LUCCA;;CORROTTI FRANCESCO DETTO MERLO
POTERE AL POPOLO!;TOSCANA;TOSCANA - 01;01 - FIRENZE ;;AMATO MIRIAM 
POTERE AL POPOLO!;TOSCANA;TOSCANA - 01;02 - SESTO FIORENTINO;;TARGETTI SANDRO 
POTERE AL POPOLO!;TOSCANA;TOSCANA - 01;03 - PRATO;;NISTRI MARA 
POTERE AL POPOLO!;TOSCANA;TOSCANA - 02;04 - AREZZO;;SCREPANTI ERNESTO 
POTERE AL POPOLO!;TOSCANA;TOSCANA - 02;06 - PISA;;GIACOMELLI SANDRO 
POTERE AL POPOLO!;TOSCANA;TOSCANA - 02;07 - LIVORNO;;AMARUGI STEFANIA 
POTERE AL POPOLO!;TRENTINO-ALTO ADIGE;TRENTINO-ALTO ADIGE/SÜDTIROL - 01;01 - BOLZANO/BOZEN;;BRISCA LIDIA DETTA LIDIA MENAPACE
POTERE AL POPOLO!;TRENTINO-ALTO ADIGE;TRENTINO-ALTO ADIGE/SÜDTIROL - 01;02 - MERANO/MERAN;;BENATTI GABRIELE 
POTERE AL POPOLO!;TRENTINO-ALTO ADIGE;TRENTINO-ALTO ADIGE/SÜDTIROL - 01;03 - BRESSANONE/BRIXEN;;TULIPANO ANNA MARIA 
POTERE AL POPOLO!;TRENTINO-ALTO ADIGE;TRENTINO-ALTO ADIGE/SÜDTIROL - 01;04 - TRENTO;;MORANDO GRAZIANO 
POTERE AL POPOLO!;TRENTINO-ALTO ADIGE;TRENTINO-ALTO ADIGE/SÜDTIROL - 01;05 - ROVERETO;;CONFORTO ALESSIA 
POTERE AL POPOLO!;TRENTINO-ALTO ADIGE;TRENTINO-ALTO ADIGE/SÜDTIROL - 01;06 - PERGINE VALSUGANA;;BORDIN ROBERTO 
POTERE AL POPOLO!;UMBRIA;UMBRIA - 01;01 - PERUGIA;;SEBASTIANI FABIO 
POTERE AL POPOLO!;UMBRIA;UMBRIA - 01;02 - TERNI;;COLTORTI MAURA 
POTERE AL POPOLO!;VENETO;VENETO - 01;01 - VENEZIA;;BAODUZZI GINO 
POTERE AL POPOLO!;VENETO;VENETO - 01;02 - BELLUNO;;LAZZARIN SILVANO 
POTERE AL POPOLO!;VENETO;VENETO - 01;03 - TREVISO;;TUNDO LUCIA 
POTERE AL POPOLO!;VENETO;VENETO - 01;04 - ROVIGO;;BOVOLENTA MARIA TERESA 
POTERE AL POPOLO!;VENETO;VENETO - 02;05 - PADOVA;;AIT YAHYA ISMAIL 
POTERE AL POPOLO!;VENETO;VENETO - 02;06 - BASSANO DEL GRAPPA;;GEREMIA REDENTO 
POTERE AL POPOLO!;VENETO;VENETO - 02;07 - VICENZA;;RUI IRENE 
POTERE AL POPOLO!;VENETO;VENETO - 02;08 - VERONA;;STEVANONI CRISTINA 
POTERE AL POPOLO!;VENETO;VENETO - 02;09 - VILLAFRANCA DI VERONA;;COMAZIO GUIDO 
RINASCIMENTO MIR;FRIULI-VENEZIA GIULIA;FRIULI-VENEZIA GIULIA - 01;02 - UDINE;9;MORO CLARA 
SIAMO;FRIULI-VENEZIA GIULIA;FRIULI-VENEZIA GIULIA - 01;01 - TRIESTE;6;DIGOVIC MARTINA 
SIAMO;FRIULI-VENEZIA GIULIA;FRIULI-VENEZIA GIULIA - 01;02 - UDINE;6;CONTI ANGELO 
SMS - STATO MODERNO SOLIDALE;BASILICATA;BASILICATA - 01;01 - POTENZA;;ARBIA SILVANA 
SVP - PATT;TRENTINO-ALTO ADIGE;TRENTINO-ALTO ADIGE/SÜDTIROL - 01;01 - BOLZANO/BOZEN;;BRESSA GIANCLAUDIO 
SVP - PATT;TRENTINO-ALTO ADIGE;TRENTINO-ALTO ADIGE/SÜDTIROL - 01;02 - MERANO/MERAN;;UNTERBERGER JULIANE 
SVP - PATT;TRENTINO-ALTO ADIGE;TRENTINO-ALTO ADIGE/SÜDTIROL - 01;03 - BRESSANONE/BRIXEN;;DURNWALDER MEINHARD 
SVP - PATT;TRENTINO-ALTO ADIGE;TRENTINO-ALTO ADIGE/SÜDTIROL - 01;04 - TRENTO;;PANIZZA FRANCO 
SVP - PATT;TRENTINO-ALTO ADIGE;TRENTINO-ALTO ADIGE/SÜDTIROL - 01;05 - ROVERETO;;MELLARINI TIZIANO 
SVP - PATT;TRENTINO-ALTO ADIGE;TRENTINO-ALTO ADIGE/SÜDTIROL - 01;06 - PERGINE VALSUGANA;;STENICO ELEONORA 
