wikidata,unapromessaID,twitter,nome,wikipediaIT,immagine,,,,,,,
Q3619752,UQ3619752,,LEONE Antonio,https://it.wikipedia.org/wiki/Antonio_Leone,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/050/447/original_d50447.jpg,,,,,,,
Q15944970,UQ15944970,ELodolini,LODOLINI Emanuele,https://it.wikipedia.org/wiki/Emanuele_Lodolini,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/763/original_d305763.jpg,,,,,,,
Q16526416,UQ16526416,andreavecchio39,VECCHIO Andrea,https://it.wikipedia.org/wiki/Andrea_Vecchio,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/306/135/original_d306135.jpg,,,,,,,
Q16576697,UQ16576697,,LEONORI Marta,https://it.wikipedia.org/wiki/Marta_Leonori,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/824/original_d305824.jpg,,,,,,,
Q1079940,UQ1079940,elio_vito,VITO Elio,https://it.wikipedia.org/wiki/Elio_Vito,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/034/730/original_d34730.jpg,,,,,,,
Q3848080,UQ3848080,MarinaSereni,SERENI Marina,https://it.wikipedia.org/wiki/Marina_Sereni,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/231/original_d300231.jpg,,,,,,,
Q16560068,UQ16560068,,MONCHIERO Giovanni,https://it.wikipedia.org/wiki/Giovanni_Monchiero,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/509/original_d305509.jpg,,,,,,,
Q16560248,UQ16560248,SorialGiorgio,SORIAL Girgis Giorgio,https://it.wikipedia.org/wiki/Girgis_Giorgio_Sorial,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/524/original_d305524.jpg,,,,,,,
Q7132262,UQ7132262,VitelliPaolo,VITELLI Paolo,https://it.wikipedia.org/wiki/Paolo_Vitelli_(imprenditore),http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/505/original_d305505.jpg,,,,,,,
Q16526205,UQ16526205,andreacecconi84,CECCONI Andrea,https://it.wikipedia.org/wiki/Andrea_Cecconi,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/787/original_d305787.jpg,,,,,,,
Q3750589,UQ3750589,SenSanna,SANNA Francesco,https://it.wikipedia.org/wiki/Francesco_Sanna,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/303/107/original_d303107.jpg,,,,,,,
Q15632092,UQ15632092,BorghesiStefano,BORGHESI Stefano,https://it.wikipedia.org/wiki/Stefano_Borghesi,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/501/original_d305501.jpg,,,,,,,
Q3938844,UQ3938844,bobogiac,GIACHETTI Roberto,https://it.wikipedia.org/wiki/Roberto_Giachetti,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/480/original_d300480.jpg,,,,,,,
Q3762506,UQ3762506,,BOCCI Gianpiero,https://it.wikipedia.org/wiki/Gianpiero_Bocci,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/496/original_d301496.jpg,,,,,,,
Q15141218,UQ15141218,martinellilucca,MARTINELLI Marco,https://it.wikipedia.org/wiki/Marco_Martinelli_(politico),http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/492/original_d301492.jpg,,,,,,,
Q15141218,UQ15141218,martinellilucca,MARTINELLI Marco,https://it.wikipedia.org/wiki/Marco_Martinelli_(politico),http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/492/original_d301492.jpg,,,,,,,
Q3827737,UQ3827737,lauraboldrini,BOLDRINI Laura,https://it.wikipedia.org/wiki/Laura_Boldrini,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/757/original_d305757.jpg,,,,,,,
Q13629087,UQ13629087,fralaforgia,LAFORGIA Francesco,https://it.wikipedia.org/wiki/Francesco_Laforgia,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/306/194/original_d306194.jpg,,,,,,,
Q15917017,UQ15917017,GRASSIGERO,GRASSI Gero,https://it.wikipedia.org/wiki/Gero_Grassi,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/562/original_d301562.jpg,,,,,,,
Q16575553,UQ16575553,,CAROCCI Mara,https://it.wikipedia.org/wiki/Mara_Carocci,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/729/original_d305729.jpg,,,,,,,
Q15936360,UQ15936360,federicogelli,GELLI Federico,https://it.wikipedia.org/wiki/Federico_Gelli,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/306/175/original_d306175.jpg,,,,,,,
Q3610164,UQ3610164,,NACCARATO Alessandro,https://it.wikipedia.org/wiki/Alessandro_Naccarato,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/578/original_d301578.jpg,,,,,,,
Q16164768,UQ16164768,paoloalli,ALLI Paolo,https://it.wikipedia.org/wiki/Paolo_Alli,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/610/original_d305610.jpg,,,,,,,
Q3615909,UQ3615909,AndreaOrlandosp,ORLANDO Andrea,https://it.wikipedia.org/wiki/Andrea_Orlando,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/463/original_d301463.jpg,,,,,,,
Q16571306,UQ16571306,LaCastelliM5s,CASTELLI Laura,https://it.wikipedia.org/wiki/Laura_Castelli,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/525/original_d305525.jpg,,,,,,,
Q3713683,UQ3713683,DonataLenzi,LENZI Donata,https://it.wikipedia.org/wiki/Donata_Lenzi,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/480/original_d301480.jpg,,,,,,,
Q3725786,UQ3725786,,GASBARRA Enrico,https://it.wikipedia.org/wiki/Enrico_Gasbarra,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/302/790/original_d302790.jpg,,,,,,,
Q730910,UQ730910,fioroni_pd,FIORONI Giuseppe,https://it.wikipedia.org/wiki/Giuseppe_Fioroni,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/050/079/original_d50079.jpg,,,,,,,
Q15711788,UQ15711788,Ferraresi_V,FERRARESI Vittorio,https://it.wikipedia.org/wiki/Vittorio_Ferraresi,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/972/original_d305972.jpg,,,,,,,
Q16524889,UQ16524889,ZolezziAlberto,ZOLEZZI Alberto,https://it.wikipedia.org/wiki/Alberto_Zolezzi,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/598/original_d305598.jpg,,,,,,,
Q16167433,UQ16167433,Michele_Anzaldi,ANZALDI Michele,https://it.wikipedia.org/wiki/Michele_Anzaldi,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/946/original_d305946.jpg,,,,,,,
Q15623382,UQ15623382,simonabonafe,BONAFE' Simona,https://it.wikipedia.org/wiki/Simona_Bonafè,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/549/original_d305549.jpg,,,,,,,
Q15654010,UQ15654010,TizianoArlotti,ARLOTTI Tiziano,https://it.wikipedia.org/wiki/Tiziano_Arlotti,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/888/original_d305888.jpg,,,,,,,
Q3749320,UQ3749320,,GENOVESE Francantonio,https://it.wikipedia.org/wiki/Francantonio_Genovese,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/302/918/original_d302918.jpg,,,,,,,
Q3764802,UQ3764802,g_alfano,ALFANO Gioacchino,https://it.wikipedia.org/wiki/Gioacchino_Alfano,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/378/original_d300378.jpg,,,,,,,
Q3827834,UQ3827834,lauraravetto,RAVETTO Laura,https://it.wikipedia.org/wiki/Laura_Ravetto,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/459/original_d301459.jpg,,,,,,,
Q7001739,UQ7001739,,CASSANO Franco,https://it.wikipedia.org/wiki/Franco_Cassano_(sociologo),http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/896/original_d305896.jpg,,,,,,,
Q3335245,UQ3335245,,ANGELUCCI Antonio,https://it.wikipedia.org/wiki/Antonio_Angelucci,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/302/942/original_d302942.jpg,,,,,,,
Q1071053,UQ1071053,Cesare_Damiano,DAMIANO Cesare,https://it.wikipedia.org/wiki/Cesare_Damiano,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/532/original_d301532.jpg,,,,,,,
Q540403,UQ540403,edoardonesi1,NESI Edoardo,https://it.wikipedia.org/wiki/Edoardo_Nesi,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/306/183/original_d306183.jpg,,,,,,,
Q15623358,UQ15623358,SilviaBM5S,BENEDETTI Silvia,https://it.wikipedia.org/wiki/Silvia_Benedetti,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/604/original_d305604.jpg,,,,,,,
Q16527437,UQ16527437,,CASTRICONE Antonio,https://it.wikipedia.org/wiki/Antonio_Castricone,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/306/068/original_d306068.jpg,,,,,,,
Q16559065,UQ16559065,GiuliettiD2013,GIULIETTI Giampiero,https://it.wikipedia.org/wiki/Giampiero_Giulietti,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/701/original_d305701.jpg,,,,,,,
Q3836978,UQ3836978,guerini_lorenzo,GUERINI Lorenzo,https://it.wikipedia.org/wiki/Lorenzo_Guerini,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/624/original_d305624.jpg,,,,,,,
Q14527123,UQ14527123,AdrianaGalgano,GALGANO Adriana,https://it.wikipedia.org/wiki/Adriana_Galgano,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/692/original_d305692.jpg,,,,,,,
Q3809798,UQ3809798,JoleSantelli,SANTELLI Jole,https://it.wikipedia.org/wiki/Jole_Santelli,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/306/original_d300306.jpg,,,,,,,
Q15888133,UQ15888133,GFLibrandi,LIBRANDI Gianfranco,https://it.wikipedia.org/wiki/Gianfranco_Librandi,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/306/220/original_d306220.jpg,,,,,,,
Q6444890,UQ6444890,,ALFREIDER Daniel,https://it.wikipedia.org/wiki/Daniel_Alfreider,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/582/original_d305582.jpg,,,,,,,
Q3703642,UQ3703642,DZoggia,ZOGGIA Davide,https://it.wikipedia.org/wiki/Davide_Zoggia,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/634/original_d305634.jpg,,,,,,,
Q15972636,UQ15972636,DalilaNesci,NESCI Dalila,https://it.wikipedia.org/wiki/Dalila_Nesci,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/306/109/original_d306109.jpg,,,,,,,
Q1055202,UQ1055202,,PISTELLI Lapo,https://it.wikipedia.org/wiki/Lapo_Pistelli,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/050/185/original_d50185.jpg,,,,,,,
Q15585013,UQ15585013,SalvCapone,CAPONE Salvatore,https://it.wikipedia.org/wiki/Salvatore_Capone,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/929/original_d305929.jpg,,,,,,,
Q15917333,UQ15917333,GianniMelilla,MELILLA Gianni,https://it.wikipedia.org/wiki/Gianni_Melilla,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/033/730/original_d33730.jpg,,,,,,,
Q3852840,UQ3852840,mauroguerracomo,GUERRA Mauro,https://it.wikipedia.org/wiki/Mauro_Guerra,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/034/810/original_d34810.jpg,,,,,,,
Q16557050,UQ16557050,FraBonomo,BONOMO Francesca,https://it.wikipedia.org/wiki/Francesca_Bonomo,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/563/original_d305563.jpg,,,,,,,
Q16658124,UQ16658124,carlaruocco1,RUOCCO Carla,https://it.wikipedia.org/wiki/Carla_Ruocco,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/796/original_d305796.jpg,,,,,,,
Q3894052,UQ3894052,,FONTANELLI Paolo,https://it.wikipedia.org/wiki/Paolo_Fontanelli,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/302/860/original_d302860.jpg,,,,,,,
Q1060314,UQ1060314,RaffaeleFitto,FITTO Raffaele,https://it.wikipedia.org/wiki/Raffaele_Fitto,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/551/original_d301551.jpg,,,,,,,
Q17406685,UQ17406685,eminnucci,MINNUCCI Emiliano,https://it.wikipedia.org/wiki/Emiliano_Minnucci,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/306/683/original_d306683.jpg,,,,,,,
Q3683396,UQ3683396,ColombaMongiell,MONGIELLO Colomba,https://it.wikipedia.org/wiki/Colomba_Mongiello,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/302/248/original_d302248.jpg,,,,,,,
Q15701447,UQ15701447,UMarroni,MARRONI Umberto,https://it.wikipedia.org/wiki/Umberto_Marroni,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/813/original_d305813.jpg,,,,,,,
Q15791380,UQ15791380,f_p_sIsto,SISTO Francesco Paolo,https://it.wikipedia.org/wiki/Francesco_Paolo_Sisto,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/302/886/original_d302886.jpg,,,,,,,
Q15936378,UQ15936378,FedericoDinca,D'INCA' Federico,https://it.wikipedia.org/wiki/Federico_D'Incà,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/674/original_d305674.jpg,,,,,,,
Q15623388,UQ15623388,ValenteM5S,VALENTE Simone,https://it.wikipedia.org/wiki/Simone_Valente,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/717/original_d305717.jpg,,,,,,,
Q16575824,UQ16575824,MarcoFedi58,FEDI Marco,https://it.wikipedia.org/wiki/Marco_Fedi,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/509/original_d301509.jpg,,,,,,,
Q3635805,UQ3635805,BCatanoso,CATANOSO GENOESE Francesco Detto Basilio Catanoso,https://it.wikipedia.org/wiki/Basilio_Catanoso,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/237/original_d300237.jpg,,,,,,,
Q16537147,UQ16537147,carlosibilia,SIBILIA Carlo,https://it.wikipedia.org/wiki/Carlo_Sibilia,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/918/original_d305918.jpg,,,,,,,
Q15708574,UQ15708574,paris_valentina,PARIS Valentina,https://it.wikipedia.org/wiki/Valentina_Paris,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/941/original_d305941.jpg,,,,,,,
Q16575890,UQ16575890,marcomeloni,MELONI Marco,https://it.wikipedia.org/wiki/Marco_Meloni,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/727/original_d305727.jpg,,,,,,,
Q16552217,UQ16552217,enzabrunobossio,BRUNO BOSSIO Vincenza,https://it.wikipedia.org/wiki/Enza_Bruno_Bossio,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/306/134/original_d306134.jpg,,,,,,,
Q16576953,UQ16576953,Maxdero,DE ROSA Massimo Felice,https://it.wikipedia.org/wiki/Massimo_De_Rosa,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/306/224/original_d306224.jpg,,,,,,,
Q15931668,UQ15931668,FilippoBusin,BUSIN Filippo,https://it.wikipedia.org/wiki/Filippo_Busin,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/630/original_d305630.jpg,,,,,,,
Q15691396,UQ15691396,,DEL BASSO DE CARO Umberto,https://it.wikipedia.org/wiki/Umberto_Del_Basso_De_Caro,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/032/910/original_d32910.jpg,,,,,,,
Q3836834,UQ3836834,,MILANATO Lorena,https://it.wikipedia.org/wiki/Lorena_Milanato,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/296/original_d300296.jpg,,,,,,,
Q16559606,UQ16559606,Giorgio_Zanin,ZANIN Giorgio,https://it.wikipedia.org/wiki/Giorgio_Zanin,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/677/original_d305677.jpg,,,,,,,
Q16559606,UQ16559606,Giorgio_Zanin,ZANIN Giorgio,https://it.wikipedia.org/wiki/Giorgio_Zanin,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/677/original_d305677.jpg,,,,,,,
Q15967959,UQ15967959,CrippoX,IANNUZZI Cristian,https://it.wikipedia.org/wiki/Cristian_Iannuzzi,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/746/original_d305746.jpg,,,,,,,
Q16606338,UQ16606338,SimonaMalpezzi,MALPEZZI Simona Flavia,https://it.wikipedia.org/wiki/Simona_Malpezzi,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/306/212/original_d306212.jpg,,,,,,,
Q16606338,UQ16606338,SimonaMalpezzi,MALPEZZI Simona Flavia,https://it.wikipedia.org/wiki/Simona_Malpezzi,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/306/212/original_d306212.jpg,,,,,,,
Q16571337,UQ16571337,LaVenittelli,VENITTELLI Laura,https://it.wikipedia.org/wiki/Laura_Venittelli,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/753/original_d305753.jpg,,,,,,,
Q8218823,UQ8218823,MatteoRichetti,RICHETTI Matteo,https://it.wikipedia.org/wiki/Matteo_Richetti,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/708/original_d305708.jpg,,,,,,,
Q10751623,UQ10751623,NicoStumpo,STUMPO Nicola,https://it.wikipedia.org/wiki/Nico_Stumpo,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/306/139/original_d306139.jpg,,,,,,,
Q3763740,UQ3763740,gianpierodalia,D'ALIA Gianpiero,https://it.wikipedia.org/wiki/Gianpiero_D'Alia,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/239/original_d300239.jpg,,,,,,,
Q3934279,UQ3934279,,MERLO Ricardo Antonio,https://it.wikipedia.org/wiki/Ricardo_Merlo,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/506/original_d301506.jpg,,,,,,,
Q12467290,UQ12467290,,ARCHI Bruno,https://it.wikipedia.org/wiki/Bruno_Archi,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/306/264/original_d306264.jpg,,,,,,,
Q15710993,UQ15710993,VeronicaTentori,TENTORI Veronica,https://it.wikipedia.org/wiki/Veronica_Tentori,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/551/original_d305551.jpg,,,,,,,
Q3929279,UQ3929279,vignali,VIGNALI Raffaello,https://it.wikipedia.org/wiki/Raffaello_Vignali,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/302/758/original_d302758.jpg,,,,,,,
Q16577109,UQ16577109,,BIFFONI Matteo,https://it.wikipedia.org/wiki/Matteo_Biffoni,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/306/150/original_d306150.jpg,,,,,,,
Q15111871,UQ15111871,L_Ventricelli,VENTRICELLI Liliana,https://it.wikipedia.org/wiki/Liliana_Ventricelli,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/904/original_d305904.jpg,,,,,,,
Q15465052,UQ15465052,renzocarella,CARELLA Renzo,https://it.wikipedia.org/wiki/Renzo_Carella,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/302/792/original_d302792.jpg,,,,,,,
Q16558576,UQ16558576,geaschiro,SCHIRO' Gea,https://it.wikipedia.org/wiki/Gea_Schirò_Planeta,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/989/original_d305989.jpg,,,,,,,
Q16560506,UQ16560506,sottanelli,SOTTANELLI Giulio Cesare,https://it.wikipedia.org/wiki/Giulio_Cesare_Sottanelli,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/306/064/original_d306064.jpg,,,,,,,
Q16527490,UQ16527490,,DECARO Antonio,https://it.wikipedia.org/wiki/Antonio_Decaro,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/908/original_d305908.jpg,,,,,,,
Q16538746,UQ16538746,CelesteCost,COSTANTINO Celeste,https://it.wikipedia.org/wiki/Celeste_Costantino,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/588/original_d305588.jpg,,,,,,,
Q16597116,UQ16597116,RobertaOliaro,OLIARO Roberta,https://it.wikipedia.org/wiki/Roberta_Oliaro,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/737/original_d305737.jpg,,,,,,,
Q3617472,UQ3617472,nelloformisano3,FORMISANO Aniello,https://it.wikipedia.org/wiki/Nello_Formisano,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/541/original_d300541.jpg,,,,,,,
Q3617884,UQ3617884,AngieCalabria,CALABRIA Annagrazia,https://it.wikipedia.org/wiki/Annagrazia_Calabria,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/303/200/original_d303200.jpg,,,,,,,
Q8915317,UQ8915317,MartaGrande87,GRANDE Marta,https://it.wikipedia.org/wiki/Marta_Grande,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/784/original_d305784.jpg,,,,,,,
Q16551329,UQ16551329,edopatriarca,PATRIARCA Edoardo,https://it.wikipedia.org/wiki/Edoardo_Patriarca,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/565/original_d305565.jpg,,,,,,,
Q16268318,UQ16268318,matteodallosso,DALL'OSSO Matteo,https://it.wikipedia.org/wiki/Matteo_Dall'Osso,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/967/original_d305967.jpg,,,,,,,
Q3762237,UQ3762237,,PORTAS Giacomo Antonio,https://it.wikipedia.org/wiki/Giacomo_Portas,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/302/782/original_d302782.jpg,,,,,,,
Q15838900,UQ15838900,F_DUva,D'UVA Francesco,https://it.wikipedia.org/wiki/Francesco_D'Uva,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/306/085/original_d306085.jpg,,,,,,,
Q106446,UQ106446,LauraGaravini,GARAVINI Laura,https://it.wikipedia.org/wiki/Laura_Garavini,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/302/899/original_d302899.jpg,,,,,,,
Q3608386,UQ3608386,albertolosacco,LOSACCO Alberto,https://it.wikipedia.org/wiki/Alberto_Losacco,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/302/891/original_d302891.jpg,,,,,,,
